"","generations","abundance"
"1",1,10
"2",2,10.99875
"3",3,12.0971128437305
"4",4,13.3049948763641
"5",5,14.6332815778922
"6",6,16.0939330740597
"7",7,17.7000886979433
"8",8,19.4661814034887
"9",9,21.4080628911072
"10",10,23.5431403657585
"11",11,25.8905259091058
"12",12,28.4711995083683
"13",13,31.3081868441871
"14",14,34.4267529965624
"15",15,37.854613279695
"16",16,41.6221624608326
"17",17,45.7627236518169
"18",18,50.3128181810482
"19",19,55.3124577532365
"20",20,60.8054601787764
"21",21,66.8397898968096
"22",22,73.4679244175725
"23",23,80.7472476603519
"24",24,88.7404709513281
"25",25,97.5160821566526
"26",26,107.148823043828
"27",27,117.720194469715
"28",28,129.318988364362
"29",29,142.041844691403
"30",30,155.993830590001
"31",31,171.289037709225
"32",32,188.051192299655
"33",33,206.414270893054
"34",34,226.523112342006
"35",35,248.534014570893
"36",36,272.615301572998
"37",37,298.947842947151
"38",38,327.725504581832
"39",39,359.155504960597
"40",40,393.458646997363
"41",41,430.869390360887
"42",42,471.635724002601
"43",43,516.018793200918
"44",44,564.292230084303
"45",45,616.741131581065
"46",46,673.660624446873
"47",47,735.353953929933
"48",48,802.130031353421
"49",49,874.300377148776
"50",50,952.175400495122
"51",51,1036.05996562828
"52",52,1126.24820903639
"53",53,1223.01759208556
"54",54,1326.62220091223
"55",55,1437.28534020404
"56",56,1555.19150985987
"57",57,1680.47790294161
"58",58,1813.22561845733
"59",59,1953.45084101019
"60",60,2101.09629775817
"61",61,2256.02335687832
"62",62,2418.0051752314
"63",63,2586.72132991146
"64",64,2761.75437241987
"65",65,2942.58871949211
"66",66,3128.61223679029
"67",67,3319.12077886689
"68",68,3513.32582244476
"69",69,3710.36517550602
"70",70,3909.31657136153
"71",71,4109.21377780866
"72",72,4309.06468219286
"73",73,4507.87066997063
"74",74,4704.64651225292
"75",75,4898.43992841254
"76",76,5088.34999960047
"77",77,5273.54367808009
"78",78,5453.26975933037
"79",79,5626.86984691307
"80",80,5793.78602817813
"81",81,5953.56517424204
"82",82,6105.8599631169
"83",83,6250.42688581367
"84",84,6387.12162120875
"85",85,6515.89225077823
"86",86,6636.77082805915
"87",87,6749.86382306285
"88",88,6855.34193499548
"89",89,6953.42971542369
"90",90,7044.39537687434
"91",91,7128.54108674017
"92",92,7206.1939700974
"93",93,7277.69797292379
"94",94,7343.40667290243
"95",95,7403.67707064732
"96",96,7458.86435063169
"97",97,7509.31756818081
"98",98,7555.37619575153
"99",99,7597.36744708507
"100",100,7635.60429021823
