X,Grid,Year,site,mgmt,camtype,trapnights,avgprecip,pctsavanna,riverkm_perkm2,roadkm_perkm2,distboundarykm,distedgekm,avg_FRP,prey_det,preyper100tn,logprey,LionTrigs,human_occ,livest_occ,lion_occ,competitor_occ
1,F17,2016,WBK,NP,WF,79,18,1,861.3640991,1.769279629,1.173668931,1.173668931,3.875,55,69.62025316,4.243055519,5,1,1,1,1
2,G16,2016,WBK,NP,IR,79,19.5,0.947368421,1023.817993,8.033325282,3.398477558,3.507863073,10.1,21,26.58227848,3.280244771,0,1,1,0.495475522,0.157245527
3,G17,2016,WBK,NP,BO,176,19,0.96,1059.752979,7.463603478,3.393808579,7.141794037,6.01818182,42,23.86363636,3.172355809,0,1,0.054000592,0.254816774,0.17076504
4,G18,2016,WBK,NP,BO,177,18.75,1,1801.504556,4.851894069,0.803938569,12.08262592,0,17,9.604519774,2.262233797,1,0.193924243,0.054000592,1,0.219655338
5,H17,2016,WBK,NP,BO,264,20.5,1,3693.161877,7.074023953,0.430999451,5.805142593,3.5,23,8.712121212,2.164715299,0,0.193924243,0.054000592,0.254816774,0.232224915
6,H18,2016,WBK,NP,IR,88,20.5,1,3626.085742,1.570196033,6.707546058,11.66362697,0,10,11.36363636,2.430418464,0,0.193924243,0.054000592,0.479991479,1
7,I17,2016,WBK,NP,IR,86,21.66666667,1,2424.710599,1.433847964,2.183388321,2.183388321,3.35,7,8.139534884,2.096733039,0,1,1,0.495475522,0.158211245
8,I18,2016,WBK,NP,BO,258,21.5,0.96,1581.825964,1.814855957,9.991683837,9.991683837,8.7,45,17.44186047,2.858873091,0,0.193924243,0.054000592,0.300355513,0.231359697
9,I19,2016,WBK,NP,WF,172,21,0.92,4320.459949,4.786939898,4.732341823,19.375217,8.24,61,35.46511628,3.568549573,1,1,0.054000592,1,1
10,J17,2016,WBK,NP,IR,85,24,1,970.7780273,2.03259002,1.981576505,1.981576505,8.33333333,6,7.058823529,1.954278399,0,0.193924243,0.054000592,0.495475522,0.206343728
11,J18,2016,WBK,NP,WF,145,23.16666667,1,2709.66604,3.731377006,9.396085878,9.396085878,3.3,37,25.51724138,3.239354356,0,1,0.054000592,0.450467556,0.166413909
12,J19,2016,WBK,NP,BO,255,22.66666667,0.92,4580.070984,3.144105029,10.63275558,19.06465994,0.4,73,28.62745098,3.354366082,2,1,1,1,1
13,J20,2016,WBK,NP,BO,171,22.33333333,0.84,3766.594006,5.284974124,2.749689908,28.72680597,3.56666667,47,27.48538012,3.313654231,0,0.193924243,0.054000592,0.300355513,1
14,K17,2016,WBK,NP,IR,86,25.25,0.956521739,2231.572705,2.362637997,4.522560176,4.522560176,7.08888889,1,1.162790698,0.15082289,0,0.193924243,0.054000592,0.495475522,0.206488316
15,K18,2016,WBK,NP,BO,173,24.75,0.96,1871.521814,4.324906039,13.02552597,13.02552597,4.925,48,27.74566474,3.323079602,1,1,0.054000592,1,0.170342827
16,K19,2016,WBK,NP,BO,176,24.5,1,2914.335358,4.34083989,16.53296515,22.09964239,4.1,24,13.63636364,2.612740022,0,1,0.054000592,0.300355513,1
17,K20,2016,WBK,NP,BO,260,24,0.92,1164.887488,5.946014807,8.289369589,23.52545569,8.79615385,239,91.92307692,4.520952107,2,0.193924243,0.054000592,1,1
18,K21,2016,WBK,NP,WF,146,23.5,0.92,3590.523685,9.285199895,0.623715363,21.93552483,0,282,193.1506849,5.263470635,1,1,0.054000592,1,1
19,L18,2016,WBK,NP,WF,86,26,0.92,2795.78111,3.858693016,13.10676118,13.10676118,3.21111111,181,210.4651163,5.349319921,2,1,0.054000592,1,1
20,L19,2016,WBK,NP,IR,172,25.75,1,1476.164362,3.854495105,11.39117488,19.69742372,10.0875,10,5.813953488,1.760260802,0,0.193924243,0.054000592,0.495475522,0.218931883
21,L20,2016,WBK,NP,BO,166,25.16666667,0.8,2995.285999,4.371859482,3.45068783,14.54769603,20.45882353,30,18.07228916,2.894379779,0,1,1,0.300355513,1
22,L21,2016,WBK,NP,IR,83,25.25,0.84,3138.154608,4.352683359,3.332291238,12.00304825,8.74,11,13.25301205,2.584224851,0,0.193924243,0.054000592,0.495475522,0.206054568
23,M18,2016,WBK,NP,IR,86,26.75,1,3628.91131,1.28679297,11.13845077,11.13845077,0,13,15.11627907,2.715772247,0,0.193924243,0.054000592,0.495475522,0.206488316
24,M19,2016,WBK,NP,IR,172,26.5,0.96,2250.536279,4.553553497,7.892780213,13.63317456,6.23333333,34,19.76744186,2.984036234,0,0.193924243,0.054000592,0.495475522,0.218931883
25,M20,2016,WBK,NP,WF,86,26.16666667,0.96,2204.684204,6.849487826,1.255512875,5.870253414,0,11,12.79069767,2.548718162,1,0.193924243,0.054000592,0.450467556,1
26,N17,2016,WBK,NP,WF,85,28,0.96,2400.521985,5.842725953,2.529621749,7.438318746,4.2,52,61.17647059,4.113762648,0,1,0.054000592,0.450467556,0.158073183
27,N18,2016,WBK,NP,IR,168,27.5,0.96,3167.216974,3.597480047,5.965086252,13.56505656,7.15,59,35.11904762,3.558743651,0,0.193924243,0.054000592,0.495475522,0.218353079
28,O18,2016,WBK,NP,WF,85,29.5,1,1517.37002,1.056714,0.9148574,15.74970423,10.8,13,15.29411765,2.727468287,1,0.193924243,0.054000592,1,0.206343728
29,D22,2017,WNI,NP,IR,115,13.8,0.863636364,4519.469431,3.405345458,3.102704966,4.502245804,7.64736842,36,31.30434783,3.443756996,0,0.027624587,1,0.433886362,0.329224215
30,D23,2017,WNI,NP,WF,115,14,0.866666667,2816.783821,2.874817079,1.730478059,1.730478059,0,93,80.86956522,4.392837551,0,1,1,0.356349886,1
31,D24,2017,WNI,NP,IR,115,14,0.7,1050.674402,3.812276912,0.458496016,0.458496016,6.13333333,77,66.95652174,4.204043479,0,1,1,0.433886362,0.274363751
32,E19,2017,WNI,NP,IR,104,16,1,602.3654968,2.346023035,1.247183667,1.247183667,4,3,2.884615385,1.059391576,0,1,1,0.44916779,0.301218145
33,E20,2017,WNI,NP,IR,50,15.33333333,0.96,2479.278482,6.100163281,0.581112772,3.870962246,4.75333333,4,8,2.079441542,0,0.100491543,0.147430211,0.495475522,0.423971436
34,E21,2017,WNI,NP,WF,118,15,1,4641.465759,7.256389999,2.879447733,13.53527655,6.52333333,28,23.72881356,3.166690072,0,0.027624587,0.070450323,0.356349886,0.329600745
35,E22,2017,WNI,NP,IR,48,14.75,0.96,994.5322113,4.956587666,7.861932383,10.36695939,6.13333333,54,112.5,4.722953222,0,0.100491543,1,0.495475522,0.423808765
36,E23,2017,WNI,NP,IR,114,14.5,0.96,1853.953893,2.857008076,7.859354423,7.859354423,4.16666667,14,12.28070175,2.508029067,0,1,1,0.433886362,0.274222454
37,E24,2017,WNI,NP,WF,114,14.5,0.95,1575.551423,2.60810795,7.693941324,7.693941324,2.35454545,22,19.29824561,2.960014191,0,1,1,0.356349886,1
38,E25,2017,WNI,NP,IR,115,14.33333333,1,2174.606593,3.823537064,2.272739603,2.272739603,2.65,111,96.52173913,4.569768259,0,1,1,0.433886362,0.274363751
39,F17,2017,WBK,NP,BO,212,18,1,861.3640991,1.769279629,1.173668931,1.173668931,0,15,7.075471698,1.956634112,11,1,1,1,1
40,F19,2017,WNI,NP,WF,102,17,0.96,2950.130606,3.765001976,8.151541351,8.151541351,5.65,5,4.901960784,1.589635285,0,0.038467282,0.085210497,0.379157182,0.351703868
41,F20,2017,WNI,NP,IR,118,16.5,1,1354.951312,3.729892364,9.493489181,9.835166359,5.28888889,13,11.01694915,2.399434919,0,0.027624587,0.070450323,0.433886362,0.329600745
42,F21,2017,WNI,NP,IR,120,16.5,0.92,1172.634009,4.663580514,9.11895341,16.50768712,6.38448276,37,30.83333333,3.428596356,0,0.027624587,0.070450323,0.433886362,1
43,F22,2017,WNI,NP,IR,118,16.25,1,2457.614833,7.865924942,5.875829349,18.94809286,8.3,17,14.40677966,2.667698906,1,0.027624587,0.070450323,1,1
44,F23,2017,WNI,NP,WF,118,16,1,2798.343787,3.349525988,4.511618527,17.69157915,0,28,23.72881356,3.166690072,0,0.027624587,0.070450323,0.356349886,0.329600745
45,F24,2017,WNI,NP,WF,118,15.5,0.8,4504.723372,2.600070859,3.872286403,13.03316212,9.025,33,27.96610169,3.330993123,0,0.027624587,0.070450323,0.356349886,0.329600745
46,G17,2017,WBK,NP,WF,106,19,0.96,1059.752979,7.463603478,3.393808579,7.141794037,24.66875,3,2.830188679,1.04034338,1,0.079946419,0.085210497,1,0.349807662
47,G18,2017,WBK,NP,WF,106,18.75,1,1801.504556,4.851894069,0.803938569,12.08262592,0,40,37.73584906,3.630610546,0,0.079946419,0.085210497,0.379157182,1
48,G19,2017,WNI,NP,IR,102,18.5,1,1611.430582,2.27625798,7.069099105,18.07948911,0,81,79.41176471,4.374646527,0,1,0.085210497,0.44916779,0.300950964
49,G20,2017,WNI,NP,IR,118,17.66666667,1,2490.398682,2.505319381,6.74319064,18.98310261,2.91538462,13,11.01694915,2.399434919,0,0.027624587,0.070450323,0.433886362,0.329600745
50,G21,2017,WNI,NP,WF,119,17.5,0.92,4182.052563,4.752779774,0.649084526,23.65638262,3.6375,119,100,4.605170186,2,0.027624587,0.070450323,1,1
51,H18,2017,WBK,NP,IR,106,20.5,1,3626.085742,1.570196033,6.707546058,11.66362697,3.33333333,23,21.69811321,3.077225308,0,1,0.085210497,0.44916779,0.127265121
52,H19,2017,WNI,NP,IR,108,20,0.92,2033.137976,2.314014053,1.168276337,20.73436532,6.55,23,21.2962963,3.058533175,0,0.027624587,0.070450323,0.433886362,1
53,I17,2017,WBK,NP,WF,109,21.66666667,1,2424.710599,1.433847964,2.183388321,2.183388321,4.15,10,9.174311927,2.216407397,0,0.079946419,0.085210497,0.379157182,0.181429196
54,I18,2017,WBK,NP,IR,114,21.5,0.96,1581.825964,1.814855957,9.991683837,9.991683837,1.425,18,15.78947368,2.759343495,0,0.06365925,0.070450323,0.433886362,0.152412899
55,I19,2017,WBK,NP,WF,115,21,0.92,4320.459949,4.786939898,4.732341823,19.375217,6.76666667,32,27.82608696,3.325973961,1,0.06365925,0.070450323,1,1
56,I20,2017,WNI,NP,IR,110,20.5,0.88,3663.692334,4.546142419,3.14799107,28.98297375,10.06666667,69,62.72727273,4.138796325,0,0.027624587,1,0.433886362,1
57,I21,2017,WNI,NP,IR,110,19.75,0.84,3276.454553,5.27263941,1.578657124,38.67930561,3.24444444,50,45.45454545,3.816712826,0,0.027624587,0.070450323,0.433886362,1
58,J18,2017,WBK,NP,WF,114,23.16666667,1,2709.66604,3.731377006,9.396085878,9.396085878,15.38571429,51,44.73684211,3.80079737,1,1,0.070450323,1,0.100723213
59,J19,2017,WBK,NP,BO,115,22.66666667,0.92,4580.070984,3.144105029,10.63275558,19.06465994,3.8,293,254.7826087,5.540410667,2,0.06365925,0.070450323,1,1
60,J20,2017,WBK,NP,IR,117,22.33333333,0.84,3766.594006,5.284974124,2.749689908,28.72680597,8.95,18,15.38461538,2.733368009,0,0.06365925,0.070450323,0.433886362,0.152835345
61,J21,2017,WNI,NP,IR,110,21.66666667,0.84,2144.406903,4.917428885,2.943555001,31.87584086,8.9,30,27.27272727,3.305887202,0,0.027624587,0.070450323,0.433886362,1
62,K17,2017,WBK,NP,IR,110,25.25,0.956521739,2231.572705,2.362637997,4.522560176,4.522560176,16.44,1,0.909090909,-0.09531018,0,1,1,0.433886362,0.100247047
